DATE,NAEXKP04FRQ189S
1980-01-01,67264600000.0
1980-04-01,67135900000.00001
1980-07-01,67068200000.00001
1980-10-01,66573600000.0
1981-01-01,66221800000.0
1981-04-01,66336100000.0
1981-07-01,66267700000.00001
1981-10-01,66641400000.00001
1982-01-01,66213700000.0
1982-04-01,66438599999.99999
1982-07-01,65474900000.00001
1982-10-01,64794700000.00001
1983-01-01,64504700000.0
1983-04-01,63798600000.0
1983-07-01,63539300000.0
1983-10-01,63245100000.0
1984-01-01,63484900000.0
1984-04-01,63140700000.0
1984-07-01,63012900000.0
1984-10-01,63501200000.0
1985-01-01,63415800000.0
1985-04-01,64513499999.99999
1985-07-01,65418600000.0
1985-10-01,65846800000.0
1986-01-01,66233400000.0
1986-04-01,67229500000.0
1986-07-01,67859700000.0
1986-10-01,68432300000.0
1987-01-01,68643000000.0
1987-04-01,70214300000.0
1987-07-01,71717100000.0
1987-10-01,73110300000.0
1988-01-01,74907500000.0
1988-04-01,76292700000.0
1988-07-01,77825300000.0
1988-10-01,79065400000.0
1989-01-01,80936700000.0
1989-04-01,82217800000.0
1989-07-01,83230100000.0
1989-10-01,84858300000.0
1990-01-01,86094400000.0
1990-04-01,86463900000.0
1990-07-01,86961100000.0
1990-10-01,86854500000.0
1991-01-01,86054300000.0
1991-04-01,86393100000.0
1991-07-01,86325700000.0
1991-10-01,85740200000.0
1992-01-01,86291000000.0
1992-04-01,85291900000.0
1992-07-01,84396800000.0
1992-10-01,83195200000.0
1993-01-01,81819100000.0
1993-04-01,80359800000.0
1993-07-01,79328000000.0
1993-10-01,79079400000.0
1994-01-01,80618100000.0
1994-04-01,81444200000.0
1994-07-01,82074300000.0
1994-10-01,82363800000.0
1995-01-01,82926300000.0
1995-04-01,82496900000.0
1995-07-01,82484200000.0
1995-10-01,82546500000.0
1996-01-01,83121100000.0
1996-04-01,82800600000.0
1996-07-01,83173900000.0
1996-10-01,83110800000.0
1997-01-01,82372400000.0
1997-04-01,83549400000.0
1997-07-01,84013800000.0
1997-10-01,85389400000.0
1998-01-01,86888000000.0
1998-04-01,88550200000.0
1998-07-01,90042300000.0
1998-10-01,91348800000.0
1999-01-01,93390400000.0
1999-04-01,95033700000.0
1999-07-01,97268700000.0
1999-10-01,98641600000.0
2000-01-01,100282000000.0
2000-04-01,101836000000.0
2000-07-01,104195200000.0
2000-10-01,104527300000.0
2001-01-01,105109400000.0
2001-04-01,104765200000.0
2001-07-01,105334100000.0
2001-10-01,104799600000.0
2002-01-01,104066200000.0
2002-04-01,103391000000.0
2002-07-01,104158400000.0
2002-10-01,105024300000.0
2003-01-01,105153000000.0
2003-04-01,105084500000.0
2003-07-01,107136400000.0
2003-10-01,107289200000.0
2004-01-01,108200700000.0
2004-04-01,108762900000.0
2004-07-01,109436900000.0
2004-10-01,110777700000.0
2005-01-01,111364300000.0
2005-04-01,111932400000.0
2005-07-01,113466400000.0
2005-10-01,113990900000.0
2006-01-01,114746700000.0
2006-04-01,116790700000.0
2006-07-01,117747300000.0
2006-10-01,119413500000.0
2007-01-01,121689600000.0
2007-04-01,123168400000.0
2007-07-01,124527200000.0
2007-10-01,124788600000.0
2008-01-01,126946500000.0
2008-04-01,125506300000.0
2008-07-01,124650300000.0
2008-10-01,120556100000.0
2009-01-01,115563600000.0
2009-04-01,112811100000.0
2009-07-01,112040100000.0
2009-10-01,112748200000.0
2010-01-01,113710100000.0
2010-04-01,114687300000.0
2010-07-01,116195700000.0
2010-10-01,116693100000.0
2011-01-01,116783200000.0
2011-04-01,117115900000.0
2011-07-01,117946400000.0
2011-10-01,119576500000.0
2012-01-01,118445400000.0
2012-04-01,117832300000.0
2012-07-01,118403200000.0
2012-10-01,117815300000.0
2013-01-01,116679000000.0
2013-04-01,117033500000.0
2013-07-01,117381600000.0
2013-10-01,118830600000.0
2014-01-01,117631300000.0
2014-04-01,117374700000.0
2014-07-01,118093400000.0
2014-10-01,117189100000.0
2015-01-01,118202400000.0
2015-04-01,117305700000.0
2015-07-01,118690800000.0
2015-10-01,120088000000.0
2016-01-01,121284500000.0
2016-04-01,120847600000.0
2016-07-01,121380100000.0
2016-10-01,122588100000.0
2017-01-01,125353100000.0
2017-04-01,126760100000.0
2017-07-01,128526500000.0
2017-10-01,129961700000.0
2018-01-01,129782199999.99998
2018-04-01,131308400000.0
2018-07-01,132358800000.0
2018-10-01,133639100000.00002
2019-01-01,134663300000.0
2019-04-01,136953399999.99998
2019-07-01,138452600000.0
2019-10-01,138734300000.0
2020-01-01,127571800000.0
2020-04-01,111051700000.0
2020-07-01,133350400000.0
2020-10-01,138174900000.0
2021-01-01,138877800000.0
2021-04-01,141183200000.0
2021-07-01,141274900000.0
2021-10-01,140864700000.0
2022-01-01,141411300000.0
2022-04-01,142258500000.0
2022-07-01,145565600000.0
2022-10-01,145868200000.0
2023-01-01,145501700000.0
2023-04-01,146216700000.0
2023-07-01,147627200000.0
