DATE,NAEXKP04AUQ189S
2016-07-01,108554000000.0
2016-10-01,112031000000.0
2017-01-01,112557000000.0
2017-04-01,113339000000.0
2017-07-01,116403000000.0
2017-10-01,116385000000.0
2018-01-01,118077000000.0
2018-04-01,117228000000.0
2018-07-01,117953000000.0
2018-10-01,115918000000.0
2019-01-01,115410000000.0
2019-04-01,112945000000.0
2019-07-01,114659000000.0
2019-10-01,114301000000.0
2020-01-01,113731000000.0
2020-04-01,107337000000.0
2020-07-01,109406000000.0
2020-10-01,114211000000.0
2021-01-01,120166000000.0
2021-04-01,123269000000.0
2021-07-01,124133000000.0
2021-10-01,123712000000.0
2022-01-01,124253000000.0
2022-04-01,123989000000.0
2022-07-01,124859000000.0
2022-10-01,123885000000.0
2023-01-01,126808000000.0
2023-04-01,129795999999.99998
